roll,mean,std,marginal,s1_prob,s2_prob,s3_ot_remaining,n_s3_ot_total,p1,p5,p10,p25,p50,p75,p90,p95,p99
188,1807.5533,200.8493,12.2050,1.000000,1.000000,687.70,737,1489.00,1550.00,1586.00,1657.00,1768.00,1930.00,2076.00,2185.00,2397.00
189,1819.7147,202.1657,12.1614,1.000000,1.000000,687.44,737,1499.00,1559.00,1596.00,1667.00,1780.00,1944.00,2091.00,2200.00,2410.01
190,1831.7455,203.6523,12.0308,1.000000,1.000000,687.18,737,1507.00,1569.00,1606.00,1678.00,1793.00,1957.00,2105.00,2214.00,2424.00
191,1843.9431,204.9413,12.1976,1.000000,1.000000,686.92,737,1517.00,1579.00,1616.00,1688.00,1806.00,1969.00,2119.00,2228.00,2440.00
192,1856.1517,206.3471,12.2086,1.000000,1.000000,686.65,737,1526.00,1589.00,1626.00,1699.00,1819.00,1982.00,2133.00,2242.00,2456.00
193,1868.3738,207.7195,12.2221,1.000000,1.000000,686.39,737,1536.00,1599.00,1636.00,1710.00,1832.00,1995.00,2147.00,2256.00,2471.00
194,1880.5774,209.1378,12.2036,1.000000,1.000000,686.13,737,1545.00,1608.00,1646.00,1721.00,1845.00,2008.00,2162.00,2271.00,2488.00
195,1892.8436,210.5360,12.2662,1.000000,1.000000,685.86,737,1554.00,1618.00,1656.00,1731.00,1858.00,2021.00,2176.00,2285.00,2503.00
196,1905.0478,211.8827,12.2042,1.000000,1.000000,685.60,737,1564.00,1628.00,1666.00,1742.00,1871.00,2034.00,2190.00,2299.00,2519.00
197,1917.2337,213.1975,12.1859,1.000000,1.000000,685.34,737,1574.00,1637.00,1676.00,1753.00,1884.00,2047.00,2205.00,2313.00,2535.00
198,1929.4420,214.5148,12.2083,1.000000,1.000000,685.08,737,1583.00,1647.00,1686.00,1764.00,1897.00,2060.00,2219.00,2327.00,2550.00
199,1941.7256,215.7510,12.2836,1.000000,1.000000,684.81,737,1592.00,1657.00,1696.00,1775.00,1910.00,2072.00,2233.00,2341.00,2565.00
200,1953.8905,217.0467,12.1649,1.000000,1.000000,684.55,737,1601.00,1667.00,1706.00,1786.00,1923.00,2085.00,2247.00,2355.00,2579.00
201,1966.2334,218.3638,12.3428,1.000000,1.000000,684.28,737,1611.00,1676.00,1716.00,1797.00,1936.00,2098.00,2262.00,2369.00,2594.00
202,1978.3924,219.6379,12.1590,1.000000,1.000000,684.02,737,1620.00,1686.00,1726.00,1808.00,1949.00,2111.00,2276.00,2383.00,2610.00
203,1990.5275,220.7740,12.1351,1.000000,1.000000,683.76,737,1630.00,1696.00,1736.00,1819.00,1962.00,2123.00,2289.00,2396.00,2624.00
204,2002.7268,222.0893,12.1992,1.000000,1.000000,683.50,737,1639.00,1706.00,1746.00,1830.00,1975.00,2136.00,2303.00,2411.00,2638.00
205,2014.9195,223.3353,12.1927,1.000000,1.000000,683.23,737,1648.00,1716.00,1756.00,1841.00,1988.00,2149.00,2317.00,2424.00,2653.00
206,2027.1849,224.5547,12.2654,1.000000,1.000000,682.97,737,1658.00,1726.00,1767.00,1852.00,2001.00,2162.00,2331.00,2438.00,2667.00
207,2039.4513,225.6872,12.2664,1.000000,1.000000,682.71,737,1667.00,1735.00,1777.00,1863.00,2014.00,2174.00,2345.00,2453.00,2682.00
208,2051.6035,226.7890,12.1521,1.000000,1.000000,682.45,737,1677.00,1745.00,1787.00,1875.00,2027.00,2187.00,2359.00,2466.00,2696.00
209,2063.7343,227.9678,12.1308,1.000000,1.000000,682.18,737,1687.00,1755.00,1797.00,1886.00,2040.00,2200.00,2373.00,2480.00,2709.00
210,2075.8115,229.1399,12.0772,1.000000,1.000000,681.92,737,1696.00,1765.00,1807.00,1897.00,2053.00,2212.00,2387.00,2493.05,2724.00
211,2088.0360,230.3028,12.2245,1.000000,1.000000,681.66,737,1705.00,1775.00,1817.90,1908.00,2065.00,2225.00,2401.00,2507.00,2739.00
212,2100.2316,231.4200,12.1956,1.000000,1.000000,681.40,737,1714.00,1785.00,1828.00,1919.00,2078.00,2238.00,2414.00,2521.00,2753.00
213,2112.3335,232.4856,12.1020,1.000000,1.000000,681.13,737,1723.00,1794.00,1838.00,1931.00,2090.00,2250.00,2428.00,2534.00,2767.01
214,2124.5588,233.4943,12.2253,1.000000,1.000000,680.87,737,1733.00,1804.00,1848.00,1943.00,2103.00,2263.00,2441.00,2548.00,2780.00
215,2136.7038,234.6395,12.1449,1.000000,1.000000,680.61,737,1743.00,1814.00,1859.00,1954.00,2115.00,2276.00,2455.00,2561.00,2795.00
216,2148.9364,235.7190,12.2326,1.000000,1.000000,680.34,737,1752.00,1824.00,1869.00,1965.00,2128.00,2289.00,2468.00,2576.00,2810.00
217,2161.1255,236.7547,12.1891,1.000000,1.000000,680.08,737,1762.00,1834.00,1879.00,1977.00,2140.00,2302.00,2481.00,2589.00,2824.00
218,2173.3846,237.8600,12.2591,1.000000,1.000000,679.82,737,1771.00,1844.00,1890.00,1988.00,2153.00,2315.00,2494.00,2603.00,2838.00
219,2185.6025,238.9591,12.2179,1.000000,1.000000,679.56,737,1781.00,1854.00,1900.00,2000.00,2165.00,2328.00,2508.00,2617.00,2852.00
220,2197.8110,240.1014,12.2085,1.000000,1.000000,679.30,737,1790.00,1864.00,1910.00,2011.00,2177.00,2341.00,2522.00,2631.00,2865.00
221,2210.1156,241.1087,12.3046,1.000000,1.000000,679.03,737,1800.00,1874.00,1921.00,2023.00,2190.00,2354.00,2535.00,2645.00,2879.01
222,2222.3485,242.1606,12.2330,1.000000,1.000000,678.77,737,1809.00,1884.00,1931.00,2035.00,2202.00,2367.00,2548.00,2659.00,2894.00
223,2234.5131,243.0215,12.1646,1.000000,1.000000,678.51,737,1819.00,1894.00,1942.00,2047.00,2214.00,2380.00,2561.00,2672.00,2908.00
224,2246.6043,243.9817,12.0912,1.000000,1.000000,678.24,737,1829.00,1904.00,1952.00,2058.00,2226.00,2393.00,2574.00,2686.00,2923.00
225,2258.8269,244.9624,12.2225,1.000000,1.000000,677.98,737,1838.00,1914.00,1963.00,2070.00,2239.00,2406.00,2588.00,2699.00,2937.00
226,2270.9729,245.8825,12.1460,1.000000,1.000000,677.72,737,1847.00,1924.00,1973.00,2082.00,2251.00,2419.00,2601.00,2713.00,2950.00
227,2283.2673,246.8320,12.2944,1.000000,1.000000,677.46,737,1857.00,1935.00,1984.00,2094.00,2263.00,2432.00,2614.00,2727.00,2965.01
228,2295.4064,247.7888,12.1391,1.000000,1.000000,677.19,737,1867.00,1944.00,1994.00,2106.00,2275.00,2445.00,2627.00,2741.00,2979.00
229,2307.4944,248.7052,12.0880,1.000000,1.000000,676.93,737,1876.00,1955.00,2005.00,2117.75,2287.00,2458.00,2640.00,2754.00,2993.01
230,2319.7692,249.6871,12.2749,1.000000,1.000000,676.67,737,1885.00,1965.00,2015.00,2129.00,2299.00,2471.00,2653.00,2768.00,3008.00
231,2331.9751,250.6674,12.2058,1.000000,1.000000,676.41,737,1895.00,1974.00,2026.00,2142.00,2312.00,2484.00,2667.00,2782.00,3023.00
232,2344.1283,251.5680,12.1533,1.000000,1.000000,676.14,737,1905.00,1985.00,2036.00,2154.00,2324.00,2497.00,2680.00,2795.00,3036.00
233,2356.2686,252.4384,12.1402,1.000000,1.000000,675.88,737,1914.00,1995.00,2047.00,2166.00,2336.00,2510.00,2692.00,2809.00,3051.00
234,2368.4859,253.3696,12.2173,1.000000,1.000000,675.62,737,1924.00,2005.00,2057.00,2178.00,2348.00,2523.00,2706.00,2823.00,3065.00
235,2380.6932,254.2483,12.2074,1.000000,1.000000,675.35,737,1934.00,2015.00,2068.00,2190.00,2360.00,2536.00,2719.00,2836.00,3078.00
236,2392.9652,255.1704,12.2719,1.000000,1.000000,675.09,737,1943.00,2025.00,2079.00,2202.00,2372.00,2549.00,2732.00,2851.00,3092.00
237,2405.1794,256.0379,12.2143,1.000000,1.000000,674.83,737,1953.00,2035.00,2089.00,2214.00,2384.00,2562.00,2745.00,2865.00,3107.00
238,2417.3237,256.8806,12.1442,1.000000,1.000000,674.57,737,1963.00,2046.00,2100.00,2226.00,2396.00,2575.00,2758.00,2879.00,3121.00
239,2429.4837,257.7780,12.1600,1.000000,1.000000,674.30,737,1972.00,2056.00,2111.00,2238.00,2408.00,2588.00,2772.00,2892.00,3135.00
240,2525.5974,196.1662,96.1137,1.000000,1.000000,674.13,737,2211.00,2279.00,2317.00,2390.00,2486.00,2623.00,2787.00,2907.00,3151.00
241,2538.7893,197.6443,13.1919,1.000000,1.000000,673.87,737,2221.00,2289.00,2328.00,2401.00,2499.00,2639.00,2803.00,2921.00,3164.00
242,2551.5804,199.3306,12.7912,1.000000,1.000000,673.61,737,2231.00,2299.00,2339.00,2412.00,2512.00,2654.00,2818.00,2936.00,3177.00
243,2564.1215,200.8866,12.5410,1.000000,1.000000,673.35,737,2241.00,2309.00,2349.00,2423.00,2524.00,2669.00,2833.00,2951.00,3193.00
244,2576.7180,202.4222,12.5965,1.000000,1.000000,673.09,737,2250.00,2319.00,2359.00,2434.00,2537.00,2684.00,2847.00,2966.00,3206.00
245,2589.3061,203.9494,12.5880,1.000000,1.000000,672.82,737,2259.00,2329.00,2369.00,2445.00,2549.00,2699.00,2862.00,2979.00,3218.00
246,2602.0417,205.5215,12.7356,1.000000,1.000000,672.56,737,2269.00,2339.00,2379.00,2456.00,2562.00,2714.00,2878.00,2994.00,3234.00
247,2614.7214,207.0922,12.6798,1.000000,1.000000,672.30,737,2279.00,2349.00,2390.00,2467.00,2575.00,2728.00,2892.00,3009.00,3251.00
248,2627.4008,208.5459,12.6794,1.000000,1.000000,672.04,737,2289.00,2359.00,2400.00,2478.00,2588.00,2743.00,2907.00,3023.00,3265.00
249,2640.0447,209.9783,12.6439,1.000000,1.000000,671.78,737,2298.00,2369.00,2410.00,2489.00,2600.00,2758.00,2922.00,3037.00,3280.00
250,2651.9383,211.5991,11.8936,1.000000,1.000000,671.51,737,2306.00,2378.00,2420.00,2499.00,2612.00,2772.00,2936.00,3051.00,3293.00
251,2664.7638,212.9536,12.8255,1.000000,1.000000,671.25,737,2316.00,2388.00,2430.00,2510.00,2625.00,2786.00,2950.00,3066.00,3307.00
252,2677.3945,214.3722,12.6307,1.000000,1.000000,670.99,737,2326.00,2398.00,2441.00,2521.00,2638.00,2801.00,2965.00,3081.00,3321.00
253,2689.9132,215.8239,12.5187,1.000000,1.000000,670.72,737,2336.00,2408.00,2451.00,2532.00,2651.00,2814.00,2979.00,3095.00,3335.00
254,2702.5586,217.1718,12.6454,1.000000,1.000000,670.46,737,2345.00,2418.00,2461.00,2543.00,2665.00,2829.00,2994.00,3110.00,3349.00
255,2715.1451,218.5533,12.5865,1.000000,1.000000,670.20,737,2355.00,2429.00,2471.00,2554.00,2678.00,2843.00,3009.00,3124.00,3364.00
256,2727.7295,219.8962,12.5844,1.000000,1.000000,669.94,737,2364.00,2438.00,2482.00,2565.00,2691.00,2856.00,3023.00,3138.00,3378.00
257,2740.4313,221.2922,12.7017,1.000000,1.000000,669.68,737,2374.00,2448.00,2492.00,2576.75,2704.00,2870.00,3038.00,3152.00,3392.00
258,2753.1113,222.6061,12.6800,1.000000,1.000000,669.41,737,2384.00,2458.00,2502.00,2588.00,2717.00,2884.00,3052.00,3167.00,3406.00
259,2765.7337,223.9781,12.6225,1.000000,1.000000,669.15,737,2394.00,2468.00,2513.00,2599.00,2730.00,2898.00,3067.00,3181.00,3421.00
260,2778.1160,225.5184,12.3823,1.000000,1.000000,668.89,737,2402.00,2478.00,2523.00,2610.00,2743.00,2912.00,3081.00,3196.00,3436.00
261,2790.8370,226.8054,12.7210,1.000000,1.000000,668.62,737,2411.00,2488.00,2533.00,2621.00,2757.00,2925.00,3095.00,3210.00,3451.00
262,2803.5595,228.1948,12.7225,1.000000,1.000000,668.36,737,2422.00,2498.00,2543.00,2632.00,2770.00,2939.00,3110.00,3225.00,3465.00
263,2816.2297,229.6029,12.6703,1.000000,1.000000,668.10,737,2432.00,2508.00,2554.00,2644.00,2783.00,2952.00,3125.00,3240.00,3482.00
264,2828.8218,230.8355,12.5920,1.000000,1.000000,667.84,737,2441.00,2518.00,2564.00,2655.00,2797.00,2966.00,3139.00,3254.00,3495.00
265,2841.4565,232.0228,12.6348,1.000000,1.000000,667.58,737,2451.00,2528.00,2575.00,2667.00,2810.00,2979.00,3154.00,3268.00,3510.00
266,2854.0500,233.2427,12.5935,1.000000,1.000000,667.32,737,2460.00,2538.00,2585.00,2678.00,2823.00,2993.00,3168.00,3282.00,3525.00
267,2866.5785,234.4209,12.5285,1.000000,1.000000,667.05,737,2470.00,2549.00,2595.00,2689.00,2837.00,3006.00,3182.00,3296.00,3540.00
268,2879.1935,235.6733,12.6150,1.000000,1.000000,666.79,737,2479.00,2559.00,2606.00,2701.00,2850.00,3020.00,3196.00,3310.00,3556.00
269,2891.8479,236.9060,12.6544,1.000000,1.000000,666.53,737,2489.00,2568.00,2616.00,2713.00,2863.00,3033.00,3210.00,3324.00,3570.00
270,2904.3814,238.0845,12.5335,1.000000,1.000000,666.26,737,2499.00,2578.00,2627.00,2724.00,2876.00,3047.00,3224.00,3339.00,3585.00
271,2916.9443,239.2411,12.5629,1.000000,1.000000,666.00,737,2509.00,2589.00,2637.00,2735.00,2889.00,3060.00,3238.00,3353.00,3600.00
272,2929.4896,240.3309,12.5452,1.000000,1.000000,665.74,737,2519.00,2599.00,2648.00,2747.00,2902.00,3073.00,3252.00,3367.00,3615.00
273,2942.0499,241.5369,12.5604,1.000000,1.000000,665.48,737,2528.00,2609.00,2658.00,2759.00,2915.00,3086.00,3265.00,3381.00,3628.00
274,2954.6408,242.7342,12.5908,1.000000,1.000000,665.21,737,2538.00,2619.00,2669.00,2771.00,2928.00,3100.00,3280.00,3395.00,3644.00
275,2967.3370,243.8616,12.6963,1.000000,1.000000,664.95,737,2547.00,2629.00,2680.00,2782.00,2942.00,3113.00,3294.00,3410.00,3659.00
276,2979.9214,245.0677,12.5843,1.000000,1.000000,664.69,737,2557.00,2639.00,2690.00,2794.00,2954.00,3127.00,3308.00,3424.00,3674.00
277,2992.4785,246.1249,12.5571,1.000000,1.000000,664.43,737,2566.00,2650.00,2701.00,2806.00,2968.00,3140.00,3322.00,3438.00,3687.00
278,3005.0477,247.1870,12.5692,1.000000,1.000000,664.16,737,2576.00,2660.00,2711.00,2818.00,2981.00,3153.00,3335.00,3452.00,3702.00
279,3017.7009,248.1842,12.6532,1.000000,1.000000,663.90,737,2586.00,2671.00,2722.00,2830.00,2994.00,3166.00,3349.00,3467.00,3714.00
280,3030.3537,249.2763,12.6528,1.000000,1.000000,663.64,737,2596.00,2681.00,2733.00,2842.00,3007.00,3180.00,3363.00,3481.00,3729.00
281,3043.0776,250.3103,12.7240,1.000000,1.000000,663.38,737,2606.00,2691.00,2743.00,2854.00,3020.00,3194.00,3377.00,3496.00,3742.00
282,3055.6398,251.3815,12.5622,1.000000,1.000000,663.12,737,2615.00,2701.00,2754.00,2866.00,3033.00,3207.00,3391.00,3510.00,3757.00
283,3068.2090,252.4774,12.5692,1.000000,1.000000,662.86,737,2625.00,2711.00,2765.00,2877.00,3045.00,3220.00,3405.00,3525.00,3770.00
284,3080.7925,253.5542,12.5835,1.000000,1.000000,662.59,737,2635.00,2722.00,2776.00,2890.00,3058.00,3234.00,3419.00,3540.00,3787.00
285,3093.4367,254.5885,12.6442,1.000000,1.000000,662.33,737,2645.00,2732.00,2786.00,2902.00,3071.00,3247.00,3432.00,3553.00,3801.00
286,3106.1301,255.6343,12.6934,1.000000,1.000000,662.07,737,2655.00,2742.00,2797.00,2915.00,3084.00,3261.00,3446.00,3567.00,3816.00
287,3118.7546,256.6225,12.6245,1.000000,1.000000,661.81,737,2664.00,2752.00,2808.00,2927.00,3096.00,3274.00,3460.00,3581.00,3830.00
288,3131.2805,257.6169,12.5259,1.000000,1.000000,661.54,737,2674.00,2763.00,2819.00,2939.00,3109.00,3288.00,3474.00,3595.00,3844.00
289,3143.8940,258.7125,12.6134,1.000000,1.000000,661.28,737,2684.00,2773.00,2830.00,2951.00,3121.00,3301.00,3488.00,3609.00,3859.00
290,3156.4430,259.6824,12.5491,1.000000,1.000000,661.02,737,2694.00,2783.00,2841.00,2963.00,3134.00,3314.00,3501.00,3623.00,3874.00
291,3169.0706,260.6278,12.6276,1.000000,1.000000,660.76,737,2704.00,2794.00,2851.00,2975.00,3146.00,3328.00,3515.00,3637.00,3889.00
292,3181.6103,261.5020,12.5398,1.000000,1.000000,660.50,737,2714.00,2804.00,2862.00,2988.00,3159.00,3341.00,3529.00,3651.00,3903.00
293,3194.1802,262.4620,12.5698,1.000000,1.000000,660.23,737,2724.00,2815.00,2873.00,3000.00,3172.00,3354.00,3542.00,3665.00,3917.00
294,3206.7848,263.3407,12.6047,1.000000,1.000000,659.97,737,2733.00,2825.00,2884.00,3012.00,3185.00,3368.00,3555.00,3679.00,3930.00
295,3219.2900,264.2217,12.5052,1.000000,1.000000,659.71,737,2743.00,2836.00,2895.90,3025.00,3197.00,3381.00,3570.00,3692.00,3944.00
296,3232.0165,265.0938,12.7265,1.000000,1.000000,659.45,737,2754.00,2846.00,2907.00,3037.00,3209.00,3395.00,3584.00,3707.00,3958.00
297,3244.6413,265.9179,12.6248,1.000000,1.000000,659.19,737,2764.00,2857.00,2918.00,3050.00,3222.00,3408.00,3597.00,3721.00,3972.00
298,3257.2371,266.8259,12.5958,1.000000,1.000000,658.93,737,2773.00,2867.00,2929.00,3062.00,3234.00,3421.00,3611.00,3734.00,3987.00
299,3269.7756,267.7336,12.5384,1.000000,1.000000,658.66,737,2783.00,2878.00,2940.00,3074.00,3247.00,3435.00,3624.00,3749.00,4001.00
300,3282.4906,268.5705,12.7151,1.000000,1.000000,658.40,737,2793.00,2888.00,2951.00,3087.00,3259.00,3448.00,3638.00,3763.00,4015.00
301,3295.0329,269.4131,12.5423,1.000000,1.000000,658.14,737,2803.00,2899.00,2962.00,3100.00,3272.00,3461.00,3651.00,3777.00,4029.00
302,3307.6465,270.2109,12.6136,1.000000,1.000000,657.88,737,2814.00,2910.00,2973.00,3112.00,3285.00,3475.00,3665.00,3790.00,4043.00
303,3320.2174,270.9363,12.5709,1.000000,1.000000,657.61,737,2823.00,2920.00,2985.00,3125.00,3297.00,3488.00,3679.00,3804.00,4057.00
304,3332.7522,271.8004,12.5348,1.000000,1.000000,657.35,737,2833.00,2931.00,2997.00,3137.00,3309.00,3501.00,3692.00,3818.00,4072.01
305,3345.3787,272.6002,12.6265,1.000000,1.000000,657.09,737,2843.00,2942.00,3008.00,3150.00,3322.00,3515.00,3706.00,3832.00,4087.00
306,3357.9653,273.3535,12.5866,1.000000,1.000000,656.83,737,2853.00,2952.00,3019.00,3162.00,3334.00,3528.00,3719.00,3846.00,4099.00
307,3370.6125,274.1108,12.6472,1.000000,1.000000,656.57,737,2863.00,2963.00,3031.00,3175.00,3347.00,3541.00,3732.00,3861.00,4114.00
308,3383.1457,275.0656,12.5332,1.000000,1.000000,656.30,737,2872.00,2974.00,3042.00,3187.00,3359.00,3554.00,3746.00,3874.00,4129.00
309,3395.7109,275.8873,12.5652,1.000000,1.000000,656.04,737,2883.00,2985.00,3053.00,3199.00,3372.00,3567.00,3760.00,3888.00,4144.01
310,3408.3745,276.6636,12.6636,1.000000,1.000000,655.78,737,2894.00,2996.00,3065.00,3212.00,3384.00,3580.00,3774.00,3901.00,4159.00
311,3420.9707,277.3895,12.5962,1.000000,1.000000,655.52,737,2903.00,3006.00,3076.00,3224.00,3397.00,3593.00,3788.00,3916.00,4173.00
312,3433.5255,278.1113,12.5547,1.000000,1.000000,655.26,737,2913.00,3017.00,3088.00,3237.00,3410.00,3606.00,3800.00,3929.00,4186.00
313,3446.1244,278.9731,12.5990,1.000000,1.000000,655.00,737,2923.00,3028.00,3099.00,3249.00,3422.00,3620.00,3814.00,3943.00,4201.00
314,3458.7237,279.6975,12.5993,1.000000,1.000000,654.74,737,2933.00,3039.00,3111.00,3261.00,3435.00,3633.00,3828.00,3956.00,4216.00
315,3471.2656,280.4555,12.5419,1.000000,1.000000,654.47,737,2943.00,3050.00,3122.00,3274.00,3447.00,3645.00,3841.00,3969.00,4229.00
316,3483.8550,281.1619,12.5894,1.000000,1.000000,654.21,737,2953.00,3060.00,3134.00,3286.00,3459.00,3659.00,3855.00,3983.00,4242.00
317,3496.4263,281.8531,12.5713,1.000000,1.000000,653.95,737,2963.00,3072.00,3146.00,3299.00,3472.00,3672.00,3869.00,3997.00,4257.00
318,3508.9250,282.5762,12.4987,1.000000,1.000000,653.68,737,2973.00,3083.00,3157.00,3311.00,3484.00,3685.00,3882.00,4011.00,4272.00
319,3521.5232,283.2711,12.5982,1.000000,1.000000,653.42,737,2983.00,3094.00,3169.00,3323.00,3497.00,3698.00,3896.00,4024.00,4285.00
320,3591.7257,234.2321,70.2025,1.000000,1.000000,653.22,737,3203.00,3286.00,3334.00,3424.00,3549.00,3719.00,3910.00,4038.00,4300.00
321,3605.0114,235.2841,13.2857,1.000000,1.000000,652.96,737,3214.00,3297.00,3345.00,3437.00,3563.00,3734.00,3925.00,4051.00,4315.00
322,3618.0192,236.5181,13.0078,1.000000,1.000000,652.70,737,3223.00,3307.00,3356.00,3448.00,3576.00,3749.00,3939.00,4066.00,4328.00
323,3630.9277,237.7938,12.9084,1.000000,1.000000,652.44,737,3232.00,3317.00,3367.00,3459.00,3590.00,3763.00,3953.00,4079.05,4342.00
324,3643.8188,239.0522,12.8912,1.000000,1.000000,652.18,737,3243.00,3327.00,3377.00,3471.00,3603.00,3778.00,3968.00,4094.00,4357.00
325,3656.6521,240.2780,12.8332,1.000000,1.000000,651.92,737,3253.00,3338.00,3388.00,3482.00,3617.00,3792.00,3982.00,4109.00,4370.00
326,3669.5235,241.5079,12.8714,1.000000,1.000000,651.66,737,3263.00,3348.00,3399.00,3494.00,3630.00,3806.00,3996.00,4123.00,4384.01
327,3682.3679,242.7112,12.8444,1.000000,1.000000,651.40,737,3273.00,3358.00,3409.00,3505.00,3643.00,3821.00,4010.00,4136.00,4398.00
328,3695.3348,243.9947,12.9669,1.000000,1.000000,651.14,737,3282.00,3369.00,3420.00,3517.00,3657.00,3835.00,4025.00,4151.00,4415.00
329,3708.3291,245.2531,12.9944,1.000000,1.000000,650.88,737,3292.00,3379.00,3431.00,3529.00,3670.00,3849.00,4039.00,4165.00,4429.00
330,3720.7358,246.6621,12.4067,1.000000,1.000000,650.61,737,3301.00,3389.00,3441.00,3540.00,3683.00,3863.00,4053.00,4178.00,4444.00
331,3733.7470,247.6405,13.0112,1.000000,1.000000,650.35,737,3312.00,3400.00,3451.00,3552.00,3697.00,3877.00,4068.00,4193.00,4457.00
332,3746.6254,248.7488,12.8783,1.000000,1.000000,650.09,737,3321.00,3410.00,3462.00,3563.00,3711.00,3891.00,4081.00,4206.00,4471.00
333,3759.4541,249.9724,12.8287,1.000000,1.000000,649.82,737,3330.00,3420.00,3473.00,3575.00,3724.00,3905.00,4096.00,4221.00,4484.00
334,3772.3960,251.1310,12.9419,1.000000,1.000000,649.56,737,3340.00,3430.00,3484.00,3587.00,3738.00,3919.00,4110.00,4236.00,4498.00
335,3785.2354,252.2336,12.8394,1.000000,1.000000,649.30,737,3350.99,3441.00,3495.00,3599.00,3751.00,3933.00,4124.00,4249.00,4513.00
336,3798.1323,253.3066,12.8969,1.000000,1.000000,649.04,737,3360.00,3451.00,3505.00,3611.00,3765.00,3947.00,4138.00,4263.00,4526.00
337,3811.0078,254.3576,12.8755,1.000000,1.000000,648.78,737,3370.00,3461.00,3516.00,3623.00,3779.00,3961.00,4152.00,4278.00,4540.00
338,3823.8839,255.4619,12.8761,1.000000,1.000000,648.51,737,3379.00,3472.00,3527.00,3635.00,3792.00,3975.00,4166.00,4292.00,4555.00
339,3836.7755,256.5457,12.8916,1.000000,1.000000,648.25,737,3390.00,3482.00,3537.00,3646.00,3805.00,3989.00,4180.00,4306.00,4570.00
340,3849.5262,257.7234,12.7506,1.000000,1.000000,647.99,737,3400.00,3492.00,3548.00,3658.00,3819.00,4003.00,4194.00,4320.00,4584.00
341,3862.4216,258.7470,12.8954,1.000000,1.000000,647.72,737,3410.00,3502.00,3559.00,3670.00,3832.00,4017.00,4208.00,4335.00,4598.00
342,3875.4073,259.8563,12.9857,1.000000,1.000000,647.46,737,3419.00,3513.00,3570.00,3682.00,3846.00,4030.00,4223.00,4349.00,4613.00
343,3888.3020,260.9512,12.8947,1.000000,1.000000,647.20,737,3429.00,3524.00,3581.00,3694.00,3859.00,4044.00,4236.00,4362.00,4627.00
344,3901.1772,261.9589,12.8752,1.000000,1.000000,646.94,737,3439.00,3534.00,3592.00,3706.00,3872.00,4058.00,4251.00,4377.00,4642.00
345,3914.0663,262.9641,12.8891,1.000000,1.000000,646.68,737,3449.00,3545.00,3603.00,3719.00,3885.00,4072.00,4265.00,4392.00,4656.00
346,3926.9609,264.0032,12.8946,1.000000,1.000000,646.42,737,3460.00,3555.00,3614.00,3731.00,3899.00,4085.00,4279.00,4405.00,4671.00
347,3939.7983,264.9718,12.8374,1.000000,1.000000,646.16,737,3469.00,3566.00,3625.00,3743.00,3912.00,4099.00,4293.00,4419.00,4686.00
348,3952.7175,266.0310,12.9192,1.000000,1.000000,645.90,737,3479.00,3576.00,3636.00,3756.00,3925.00,4113.00,4307.00,4433.00,4700.00
349,3965.6268,267.0526,12.9093,1.000000,1.000000,645.64,737,3489.00,3587.00,3647.00,3768.00,3939.00,4127.00,4321.00,4447.00,4713.00
350,3978.4368,268.0123,12.8099,1.000000,1.000000,645.38,737,3499.00,3597.00,3658.00,3780.00,3952.00,4140.00,4335.00,4462.00,4728.00
351,3991.2551,268.9674,12.8184,1.000000,1.000000,645.11,737,3509.00,3608.00,3669.00,3792.00,3965.00,4154.00,4349.00,4477.00,4742.00
352,4004.0424,269.9383,12.7873,1.000000,1.000000,644.85,737,3519.00,3618.00,3680.00,3805.00,3978.00,4168.00,4363.00,4490.00,4755.00
353,4016.9797,270.9763,12.9373,1.000000,1.000000,644.59,737,3528.00,3629.00,3691.00,3817.00,3991.00,4181.00,4377.00,4506.00,4770.00
354,4029.8315,271.8466,12.8518,1.000000,1.000000,644.33,737,3538.00,3639.00,3702.00,3830.00,4004.00,4195.00,4390.00,4521.00,4785.00
355,4042.7896,272.7686,12.9581,1.000000,1.000000,644.07,737,3548.00,3651.00,3714.00,3843.00,4017.00,4209.00,4405.00,4534.00,4799.00
356,4055.6791,273.7679,12.8895,1.000000,1.000000,643.81,737,3559.00,3661.00,3725.00,3855.00,4030.00,4222.00,4419.00,4549.00,4813.00
357,4068.5280,274.6447,12.8489,1.000000,1.000000,643.54,737,3570.00,3672.00,3736.00,3867.00,4043.00,4236.00,4433.00,4562.00,4827.00
358,4081.4164,275.6055,12.8884,1.000000,1.000000,643.28,737,3579.00,3683.00,3747.00,3880.00,4056.00,4250.00,4447.00,4577.00,4842.00
359,4094.2861,276.4303,12.8697,1.000000,1.000000,643.02,737,3589.00,3693.00,3759.00,3892.00,4069.00,4263.00,4461.00,4590.00,4856.00
360,4107.2097,277.2915,12.9235,1.000000,1.000000,642.76,737,3599.00,3704.00,3770.00,3905.00,4082.00,4277.00,4475.00,4604.00,4870.00
361,4120.0936,278.1127,12.8840,1.000000,1.000000,642.49,737,3610.00,3715.00,3781.00,3918.00,4095.00,4290.00,4489.00,4618.00,4884.00
362,4132.9791,279.0392,12.8855,1.000000,1.000000,642.23,737,3620.00,3725.00,3793.00,3930.00,4108.00,4304.00,4503.00,4633.00,4897.00
363,4145.8315,279.8191,12.8524,1.000000,1.000000,641.97,737,3629.00,3736.00,3804.00,3943.00,4121.00,4317.00,4516.00,4647.00,4911.00
