roll,mean,std,marginal,s1_prob,s2_prob,s3_ot_remaining,n_s3_ot_total,p1,p5,p10,p25,p50,p75,p90,p95,p99
46,197.3261,50.0597,4.5146,0.196323,0.045140,724.76,737,146.00,156.00,162.00,173.00,187.00,205.00,233.00,271.00,449.00
47,201.8721,50.9913,4.5461,0.200113,0.054570,724.50,737,149.00,160.00,166.00,177.00,191.00,209.00,239.00,277.00,454.00
48,206.4299,51.8320,4.5578,0.203930,0.065437,724.23,737,153.00,164.00,170.00,181.00,195.00,214.00,244.00,283.00,459.00
49,211.0878,52.8321,4.6580,0.207673,0.078177,723.97,737,157.00,168.00,174.00,185.00,199.00,218.00,250.00,289.00,465.00
50,215.7875,53.8755,4.6996,0.211290,0.092093,723.70,737,161.00,172.00,178.00,189.00,204.00,223.00,255.00,295.00,471.00
51,220.5429,54.8856,4.7554,0.215037,0.107847,723.44,737,165.00,176.00,182.00,193.00,208.00,228.00,262.00,301.00,477.00
52,225.4177,55.9410,4.8748,0.218867,0.125433,723.18,737,168.00,180.00,186.00,198.00,213.00,233.00,268.00,307.00,482.00
53,230.3375,56.9247,4.9199,0.222420,0.144990,722.91,737,172.00,184.00,190.00,202.00,217.00,238.00,274.00,313.00,488.00
54,235.3061,57.9534,4.9685,0.226160,0.166303,722.65,737,176.00,188.00,194.00,206.00,222.00,243.00,281.00,320.00,494.00
55,240.4390,59.0927,5.1329,0.229780,0.189233,722.38,737,180.00,192.00,198.00,211.00,226.00,249.00,288.00,327.00,500.00
56,245.6560,60.2912,5.2170,0.233370,0.214533,722.12,737,184.00,196.00,203.00,215.00,231.00,254.00,295.00,334.00,507.00
57,250.9888,61.4582,5.3328,0.237140,0.241797,721.86,737,188.00,200.00,207.00,219.00,236.00,260.00,303.00,342.00,514.00
58,256.4582,62.6763,5.4695,0.240883,0.270660,721.59,737,192.00,204.00,211.00,224.00,241.00,266.00,310.00,350.00,521.00
59,262.0885,63.9299,5.6303,0.244583,0.301073,721.33,737,197.00,208.00,215.00,228.00,246.00,272.00,318.00,359.00,528.00
60,267.8471,65.2761,5.7586,0.248130,0.333217,721.06,737,200.00,213.00,220.00,233.00,251.00,279.00,326.00,369.00,536.00
61,273.7722,66.6118,5.9251,0.251730,0.366163,720.80,737,205.00,217.00,224.00,238.00,256.00,285.00,334.00,378.00,544.00
62,279.8531,68.0393,6.0810,0.255337,0.400747,720.53,737,209.00,222.00,229.00,243.00,262.00,292.00,342.00,389.00,551.00
63,286.1114,69.5078,6.2582,0.258773,0.436380,720.27,737,213.00,226.00,233.00,248.00,268.00,300.00,350.00,401.00,561.00
64,292.5645,71.0367,6.4531,0.262383,0.472507,720.00,737,217.00,230.00,238.00,253.00,274.00,307.00,359.00,413.00,570.00
65,299.1350,72.5568,6.5705,0.265893,0.508710,719.74,737,222.00,235.00,243.00,258.00,280.00,315.00,368.00,425.00,581.00
66,305.9650,74.0877,6.8300,0.269290,0.544897,719.47,737,226.00,240.00,248.00,263.00,286.00,323.00,377.00,437.00,592.00
67,312.9910,75.6512,7.0261,0.272773,0.581053,719.21,737,231.00,244.00,253.00,268.00,293.00,332.00,386.00,451.00,603.00
68,320.2601,77.3273,7.2690,0.276167,0.615970,718.95,737,235.00,249.00,258.00,274.00,300.00,341.00,396.00,465.00,615.00
69,327.6893,78.8989,7.4293,0.279657,0.651077,718.68,737,240.00,254.00,263.00,280.00,307.00,350.00,407.00,479.00,626.00
70,335.3052,80.5752,7.6159,0.283223,0.684750,718.42,737,244.00,259.00,268.00,286.00,314.00,359.00,417.00,495.00,639.00
71,343.1029,82.1843,7.7977,0.286460,0.717263,718.16,737,249.00,264.00,273.00,292.00,322.00,368.00,427.00,510.00,649.00
